date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation,actual_snow,average_snow,snow_depth,sea_pressure,wind_speed,max_wind_speed,max_gust_speed,visibility
2015-5-29,24,18,29,14,23,6,36,1902,1969,0.00,4.06,10.13,0.00,0.00,0.00,1025,7,19,27,16
2015-5-30,24,19,29,14,24,5,36,1884,1987,0.00,3.81,5.56,0.00,0.00,0.00,1021,9,23,40,16
2015-5-31,22,14,31,15,24,7,35,1938,1939,37.08,3.81,7.95,0.00,0.00,0.00,1018,9,32,45,10
2015-6-1,13,11,14,15,24,6,35,1945,1895,18.29,4.06,6.60,0.00,0.00,0.00,1020,17,26,47,7
2015-6-2,12,10,13,15,24,8,35,1946,1895,9.40,4.06,7.09,0.00,0.00,0.00,1021,10,23,31,10
2015-6-3,16,11,21,16,24,7,35,1929,1895,0.00,4.06,7.65,0.00,0.00,0.00,1023,7,16,26,16
2015-6-4,16,12,18,16,24,8,37,1926,1925,0.00,4.06,6.99,0.00,0.00,0.00,1024,8,19,26,16
2015-6-5,17,13,21,16,24,8,37,1945,1925,3.30,4.06,7.11,0.00,0.00,0.00,1019,5,14,23,10
2015-6-6,20,16,24,16,25,8,36,1945,1925,4.83,4.06,6.65,0.00,0.00,0.00,1013,7,14,35,10
2015-6-7,18,13,23,16,25,8,35,1897,1925,0.00,4.06,10.57,0.00,0.00,0.00,1021,6,19,37,16
2015-6-8,22,17,26,16,25,8,35,1932,1933,1.52,4.06,3.73,0.00,0.00,0.00,1013,10,24,43,16
2015-6-9,24,20,28,17,26,8,36,1980,1933,0.25,4.06,6.48,0.00,0.00,0.00,1006,8,24,40,14
2015-6-10,23,18,28,17,26,9,35,1972,2008,0.00,4.06,5.26,0.00,0.00,0.00,1011,5,21,31,16
2015-6-11,27,22,32,17,26,7,35,1972,1973,0.00,4.06,2.90,0.00,0.00,0.00,1012,7,23,31,11
2015-6-12,27,23,31,17,26,8,33,1979,1973,0.00,4.06,5.54,0.00,0.00,0.00,1013,7,21,37,14
2015-6-13,26,22,30,17,26,10,35,1953,1961,0.00,4.06,4.34,0.00,0.00,0.00,1013,9,23,35,16
2015-6-14,25,19,31,17,26,9,37,1875,1956,9.14,4.06,6.45,0.00,0.00,0.00,1017,4,16,29,14
2015-6-15,23,18,28,18,26,8,35,1933,1994,14.48,3.81,2.87,0.00,0.00,0.00,1015,7,27,40,5
2015-6-16,22,18,26,18,27,11,36,1927,1891,6.86,3.81,3.33,0.00,0.00,0.00,1012,4,13,21,8
2015-6-17,23,19,28,18,27,10,35,1926,1957,0.0,4.06,4.62,0.00,0.00,0.00,1019,6,19,27,15
2015-6-18,20,18,22,18,27,8,35,1950,1929,0.00,3.56,5.84,0.00,0.00,0.00,1018,6,13,24,16
2015-6-19,26,20,31,18,27,11,36,1920,1994,0.00,3.56,5.49,0.00,0.00,0.00,1013,6,16,26,15
2015-6-20,21,18,24,18,27,9,36,1914,1923,0.0,3.30,3.53,0.00,0.00,0.00,1017,9,24,35,11
2015-6-21,27,22,31,18,27,9,36,1897,1988,16.26,3.56,4.32,0.00,0.00,0.00,1008,7,26,45,8
2015-6-22,26,21,31,19,27,11,36,1940,1988,0.00,3.30,4.98,0.00,0.00,0.00,1014,8,21,31,16
2015-6-23,28,24,32,19,27,9,35,1918,1888,0.51,3.30,4.45,0.00,0.00,0.00,1011,9,26,43,14
2015-6-24,24,20,29,19,28,11,35,1932,1888,0.00,3.30,3.71,0.00,0.00,0.00,1015,7,21,31,16
2015-6-25,23,18,28,19,28,10,37,1873,1952,0.00,3.56,3.25,0.00,0.00,0.00,1016,5,21,35,16
2015-6-26,24,21,27,19,28,13,37,1979,1952,0.00,3.30,10.90,0.00,0.00,0.00,1015,7,26,34,16
2015-6-27,18,14,22,19,28,12,38,1940,1966,28.45,3.05,5.36,0.00,0.00,0.00,1016,12,26,39,10
2015-6-28,20,17,23,19,28,12,35,1995,1991,7.37,3.30,4.29,0.00,0.00,0.00,1006,9,29,40,9
2015-6-29,21,17,24,19,28,11,38,1919,1934,0.00,3.05,6.53,0.00,0.00,0.00,1012,8,19,32,16
2015-6-30,24,20,28,19,28,11,37,1919,1964,0.00,3.30,7.80,0.00,0.00,0.00,1013,6,23,40,16
2015-7-1,24,21,28,20,28,11,37,1943,1901,9.91,3.05,5.51,0.00,0.00,0.00,1009,7,23,50,10
2015-7-2,24,21,27,20,28,13,37,2001,1966,0.00,3.30,4.55,0.00,0.00,0.00,1012,2,13,19,16
2015-7-3,23,19,28,20,28,12,39,1933,1966,0.00,3.05,7.11,0.00,0.00,0.00,1014,5,14,21,16
2015-7-4,22,21,24,20,29,12,38,1986,1949,0.0,3.30,4.47,0.00,0.00,0.00,1014,5,14,23,16
2015-7-5,24,20,28,20,29,11,38,1979,1999,0.00,3.05,7.80,0.00,0.00,0.00,1019,2,11,19,15
2015-7-6,26,22,28,20,29,12,39,1979,2010,0.00,3.30,5.00,0.00,0.00,0.00,1020,5,19,29,14
2015-7-7,28,24,31,20,29,13,37,1914,2010,3.05,3.30,7.95,0.00,0.00,0.00,1016,8,16,37,12
2015-7-8,28,25,31,21,29,13,37,1894,1993,0.0,3.56,4.57,0.00,0.00,0.00,1014,5,21,35,12
2015-7-9,23,20,26,21,29,12,41,1963,1936,7.62,3.56,2.77,0.00,0.00,0.00,1013,7,19,29,9
2015-7-10,26,22,29,21,29,12,38,1890,1993,0.00,3.81,4.55,0.00,0.00,0.00,1013,7,19,34,14
2015-7-11,26,21,31,21,29,13,36,1898,1988,0.00,3.81,4.93,0.00,0.00,0.00,1018,4,16,24,16
2015-7-12,27,22,32,21,29,13,37,1926,1966,0.00,3.81,6.81,0.00,0.00,0.00,1016,3,11,19,16
2015-7-13,27,23,31,21,29,12,38,1888,1966,0.00,4.32,8.03,0.00,0.00,0.00,1012,4,16,29,15
2015-7-14,26,23,28,21,29,14,37,1926,1954,10.67,4.06,4.06,0.00,0.00,0.00,1004,4,13,26,12
2015-7-15,25,22,27,21,29,13,38,1930,1995,3.05,3.81,5.92,0.00,0.00,0.00,1004,7,21,35,9
2015-7-16,22,18,27,21,29,13,37,1946,1980,0.00,4.06,3.51,0.00,0.00,0.00,1016,9,24,37,16
2015-7-17,23,19,27,21,29,13,37,1892,1953,0.00,3.81,7.95,0.00,0.00,0.00,1018,6,19,34,16
2015-7-18,26,22,29,21,29,13,38,1925,1953,8.13,3.81,4.47,0.00,0.00,0.00,1014,7,16,31,14
2015-7-19,30,26,34,21,29,13,38,1924,1977,0.00,4.06,4.62,0.00,0.00,0.0,1009,5,23,35,15
2015-7-20,31,28,34,21,29,12,38,1890,1980,0.00,3.81,5.00,0.00,0.00,0.00,1006,7,19,31,15
